sample_index,time_s,raw_adc,voltage_V
0,0.000000000000e+00,-590,-3.601184118168e-01
1,4.000000000000e-08,-292,-1.782280953398e-01
2,8.000000000000e-08,-292,-1.782280953398e-01
3,1.200000000000e-07,304,1.855525376141e-01
4,1.600000000000e-07,304,1.855525376141e-01
5,2.000000000000e-07,900,5.493331705679e-01
6,2.400000000000e-07,900,5.493331705679e-01
7,2.800000000000e-07,1198,7.312234870449e-01
8,3.200000000000e-07,1495,9.125034333323e-01
9,3.600000000000e-07,1792,1.093783379620e+00
10,4.000000000000e-07,2090,1.275673696097e+00
11,4.400000000000e-07,2090,1.275673696097e+00
12,4.800000000000e-07,2388,1.457564012574e+00
13,5.200000000000e-07,2686,1.639454329051e+00
14,5.600000000000e-07,2686,1.639454329051e+00
15,6.000000000000e-07,2686,1.639454329051e+00
16,6.400000000000e-07,2984,1.821344645528e+00
17,6.800000000000e-07,2984,1.821344645528e+00
18,7.200000000000e-07,3282,2.003234962004e+00
19,7.600000000000e-07,3282,2.003234962004e+00
20,8.000000000000e-07,3282,2.003234962004e+00
21,8.400000000000e-07,3282,2.003234962004e+00
22,8.800000000000e-07,3282,2.003234962004e+00
23,9.200000000000e-07,2984,1.821344645528e+00
24,9.600000000000e-07,2984,1.821344645528e+00
25,1.000000000000e-06,2686,1.639454329051e+00
26,1.040000000000e-06,2686,1.639454329051e+00
27,1.080000000000e-06,2686,1.639454329051e+00
28,1.120000000000e-06,2388,1.457564012574e+00
29,1.160000000000e-06,2090,1.275673696097e+00
30,1.200000000000e-06,2090,1.275673696097e+00
31,1.240000000000e-06,1792,1.093783379620e+00
32,1.280000000000e-06,1495,9.125034333323e-01
33,1.320000000000e-06,1198,7.312234870449e-01
34,1.360000000000e-06,1198,7.312234870449e-01
35,1.400000000000e-06,900,5.493331705679e-01
36,1.440000000000e-06,602,3.674428540910e-01
37,1.480000000000e-06,304,1.855525376141e-01
38,1.520000000000e-06,304,1.855525376141e-01
39,1.560000000000e-06,-292,-1.782280953398e-01
40,1.600000000000e-06,-292,-1.782280953398e-01
41,1.640000000000e-06,-590,-3.601184118168e-01
42,1.680000000000e-06,-887,-5.413983581042e-01
43,1.720000000000e-06,-1185,-7.232886745811e-01
44,1.760000000000e-06,-1483,-9.051789910581e-01
45,1.800000000000e-06,-1483,-9.051789910581e-01
46,1.840000000000e-06,-1781,-1.087069307535e+00
47,1.880000000000e-06,-2079,-1.268959624012e+00
48,1.920000000000e-06,-2079,-1.268959624012e+00
49,1.960000000000e-06,-2377,-1.450849940489e+00
50,2.000000000000e-06,-2675,-1.632740256966e+00
51,2.040000000000e-06,-2675,-1.632740256966e+00
52,2.080000000000e-06,-2675,-1.632740256966e+00
53,2.120000000000e-06,-2675,-1.632740256966e+00
54,2.160000000000e-06,-2675,-1.632740256966e+00
55,2.200000000000e-06,-2972,-1.814020203253e+00
56,2.240000000000e-06,-2675,-1.632740256966e+00
57,2.280000000000e-06,-2972,-1.814020203253e+00
58,2.320000000000e-06,-2675,-1.632740256966e+00
59,2.360000000000e-06,-2675,-1.632740256966e+00
60,2.400000000000e-06,-2675,-1.632740256966e+00
61,2.440000000000e-06,-2377,-1.450849940489e+00
62,2.480000000000e-06,-2377,-1.450849940489e+00
63,2.520000000000e-06,-2079,-1.268959624012e+00
64,2.560000000000e-06,-1781,-1.087069307535e+00
65,2.600000000000e-06,-1483,-9.051789910581e-01
66,2.640000000000e-06,-1483,-9.051789910581e-01
67,2.680000000000e-06,-1185,-7.232886745811e-01
68,2.720000000000e-06,-1185,-7.232886745811e-01
69,2.760000000000e-06,-887,-5.413983581042e-01
70,2.800000000000e-06,-590,-3.601184118168e-01
71,2.840000000000e-06,-292,-1.782280953398e-01
72,2.880000000000e-06,-292,-1.782280953398e-01
73,2.920000000000e-06,6,3.662221137120e-03
74,2.960000000000e-06,304,1.855525376141e-01
75,3.000000000000e-06,602,3.674428540910e-01
76,3.040000000000e-06,900,5.493331705679e-01
77,3.080000000000e-06,900,5.493331705679e-01
78,3.120000000000e-06,1198,7.312234870449e-01
79,3.160000000000e-06,1495,9.125034333323e-01
80,3.200000000000e-06,1495,9.125034333323e-01
81,3.240000000000e-06,1792,1.093783379620e+00
82,3.280000000000e-06,2090,1.275673696097e+00
83,3.320000000000e-06,2090,1.275673696097e+00
84,3.360000000000e-06,2090,1.275673696097e+00
85,3.400000000000e-06,2388,1.457564012574e+00
86,3.440000000000e-06,2388,1.457564012574e+00
87,3.480000000000e-06,2388,1.457564012574e+00
88,3.520000000000e-06,2686,1.639454329051e+00
89,3.560000000000e-06,2686,1.639454329051e+00
90,3.600000000000e-06,2686,1.639454329051e+00
91,3.640000000000e-06,2686,1.639454329051e+00
92,3.680000000000e-06,2388,1.457564012574e+00
93,3.720000000000e-06,2388,1.457564012574e+00
94,3.760000000000e-06,2388,1.457564012574e+00
95,3.800000000000e-06,2090,1.275673696097e+00
96,3.840000000000e-06,2090,1.275673696097e+00
97,3.880000000000e-06,2090,1.275673696097e+00
98,3.920000000000e-06,1792,1.093783379620e+00
99,3.960000000000e-06,1792,1.093783379620e+00
100,4.000000000000e-06,1495,9.125034333323e-01
101,4.040000000000e-06,1495,9.125034333323e-01
102,4.080000000000e-06,1198,7.312234870449e-01
103,4.120000000000e-06,900,5.493331705679e-01
104,4.160000000000e-06,900,5.493331705679e-01
105,4.200000000000e-06,602,3.674428540910e-01
106,4.240000000000e-06,304,1.855525376141e-01
107,4.280000000000e-06,304,1.855525376141e-01
108,4.320000000000e-06,-292,-1.782280953398e-01
109,4.360000000000e-06,-292,-1.782280953398e-01
110,4.400000000000e-06,-590,-3.601184118168e-01
111,4.440000000000e-06,-887,-5.413983581042e-01
112,4.480000000000e-06,-887,-5.413983581042e-01
113,4.520000000000e-06,-1185,-7.232886745811e-01
114,4.560000000000e-06,-1185,-7.232886745811e-01
115,4.600000000000e-06,-1483,-9.051789910581e-01
116,4.640000000000e-06,-1483,-9.051789910581e-01
117,4.680000000000e-06,-1781,-1.087069307535e+00
118,4.720000000000e-06,-1781,-1.087069307535e+00
119,4.760000000000e-06,-2079,-1.268959624012e+00
120,4.800000000000e-06,-2079,-1.268959624012e+00
121,4.840000000000e-06,-2079,-1.268959624012e+00
122,4.880000000000e-06,-2079,-1.268959624012e+00
123,4.920000000000e-06,-2377,-1.450849940489e+00
124,4.960000000000e-06,-2377,-1.450849940489e+00
125,5.000000000000e-06,-2377,-1.450849940489e+00
126,5.040000000000e-06,-2079,-1.268959624012e+00
127,5.080000000000e-06,-2079,-1.268959624012e+00
128,5.120000000000e-06,-2079,-1.268959624012e+00
129,5.160000000000e-06,-2079,-1.268959624012e+00
130,5.200000000000e-06,-2079,-1.268959624012e+00
131,5.240000000000e-06,-1781,-1.087069307535e+00
132,5.280000000000e-06,-1483,-9.051789910581e-01
133,5.320000000000e-06,-1781,-1.087069307535e+00
134,5.360000000000e-06,-1483,-9.051789910581e-01
135,5.400000000000e-06,-1185,-7.232886745811e-01
136,5.440000000000e-06,-887,-5.413983581042e-01
137,5.480000000000e-06,-887,-5.413983581042e-01
138,5.520000000000e-06,-590,-3.601184118168e-01
139,5.560000000000e-06,-590,-3.601184118168e-01
140,5.600000000000e-06,-292,-1.782280953398e-01
141,5.640000000000e-06,-292,-1.782280953398e-01
142,5.680000000000e-06,6,3.662221137120e-03
143,5.720000000000e-06,304,1.855525376141e-01
144,5.760000000000e-06,602,3.674428540910e-01
145,5.800000000000e-06,900,5.493331705679e-01
146,5.840000000000e-06,900,5.493331705679e-01
147,5.880000000000e-06,1198,7.312234870449e-01
148,5.920000000000e-06,1198,7.312234870449e-01
149,5.960000000000e-06,1495,9.125034333323e-01
150,6.000000000000e-06,1495,9.125034333323e-01
151,6.040000000000e-06,1792,1.093783379620e+00
152,6.080000000000e-06,1792,1.093783379620e+00
153,6.120000000000e-06,2090,1.275673696097e+00
154,6.160000000000e-06,2090,1.275673696097e+00
155,6.200000000000e-06,2090,1.275673696097e+00
156,6.240000000000e-06,2090,1.275673696097e+00
157,6.280000000000e-06,2090,1.275673696097e+00
158,6.320000000000e-06,2388,1.457564012574e+00
159,6.360000000000e-06,2388,1.457564012574e+00
160,6.400000000000e-06,2090,1.275673696097e+00
161,6.440000000000e-06,2090,1.275673696097e+00
162,6.480000000000e-06,2090,1.275673696097e+00
163,6.520000000000e-06,2090,1.275673696097e+00
164,6.560000000000e-06,1792,1.093783379620e+00
165,6.600000000000e-06,1792,1.093783379620e+00
166,6.640000000000e-06,1792,1.093783379620e+00
167,6.680000000000e-06,1495,9.125034333323e-01
168,6.720000000000e-06,1495,9.125034333323e-01
169,6.760000000000e-06,1198,7.312234870449e-01
170,6.800000000000e-06,900,5.493331705679e-01
171,6.840000000000e-06,900,5.493331705679e-01
172,6.880000000000e-06,602,3.674428540910e-01
173,6.920000000000e-06,602,3.674428540910e-01
174,6.960000000000e-06,304,1.855525376141e-01
175,7.000000000000e-06,304,1.855525376141e-01
176,7.040000000000e-06,-292,-1.782280953398e-01
177,7.080000000000e-06,-292,-1.782280953398e-01
178,7.120000000000e-06,-292,-1.782280953398e-01
179,7.160000000000e-06,-887,-5.413983581042e-01
180,7.200000000000e-06,-887,-5.413983581042e-01
181,7.240000000000e-06,-887,-5.413983581042e-01
182,7.280000000000e-06,-1185,-7.232886745811e-01
183,7.320000000000e-06,-1185,-7.232886745811e-01
184,7.360000000000e-06,-1483,-9.051789910581e-01
185,7.400000000000e-06,-1483,-9.051789910581e-01
186,7.440000000000e-06,-1781,-1.087069307535e+00
187,7.480000000000e-06,-1781,-1.087069307535e+00
188,7.520000000000e-06,-1781,-1.087069307535e+00
189,7.560000000000e-06,-1781,-1.087069307535e+00
190,7.600000000000e-06,-1781,-1.087069307535e+00
191,7.640000000000e-06,-2079,-1.268959624012e+00
192,7.680000000000e-06,-2079,-1.268959624012e+00
193,7.720000000000e-06,-2079,-1.268959624012e+00
194,7.760000000000e-06,-1781,-1.087069307535e+00
195,7.800000000000e-06,-1781,-1.087069307535e+00
196,7.840000000000e-06,-1781,-1.087069307535e+00
197,7.880000000000e-06,-1781,-1.087069307535e+00
198,7.920000000000e-06,-1781,-1.087069307535e+00
199,7.960000000000e-06,-1483,-9.051789910581e-01
200,8.000000000000e-06,-1483,-9.051789910581e-01
201,8.040000000000e-06,-1483,-9.051789910581e-01
202,8.080000000000e-06,-1185,-7.232886745811e-01
203,8.120000000000e-06,-887,-5.413983581042e-01
204,8.160000000000e-06,-887,-5.413983581042e-01
205,8.200000000000e-06,-590,-3.601184118168e-01
206,8.240000000000e-06,-292,-1.782280953398e-01
207,8.280000000000e-06,-292,-1.782280953398e-01
208,8.320000000000e-06,-292,-1.782280953398e-01
209,8.360000000000e-06,6,3.662221137120e-03
210,8.400000000000e-06,304,1.855525376141e-01
211,8.440000000000e-06,304,1.855525376141e-01
212,8.480000000000e-06,602,3.674428540910e-01
213,8.520000000000e-06,900,5.493331705679e-01
214,8.560000000000e-06,900,5.493331705679e-01
215,8.600000000000e-06,1198,7.312234870449e-01
216,8.640000000000e-06,1198,7.312234870449e-01
217,8.680000000000e-06,1495,9.125034333323e-01
218,8.720000000000e-06,1495,9.125034333323e-01
219,8.760000000000e-06,1495,9.125034333323e-01
220,8.800000000000e-06,1792,1.093783379620e+00
221,8.840000000000e-06,1792,1.093783379620e+00
222,8.880000000000e-06,1792,1.093783379620e+00
223,8.920000000000e-06,2090,1.275673696097e+00
224,8.960000000000e-06,1792,1.093783379620e+00
225,9.000000000000e-06,2090,1.275673696097e+00
226,9.040000000000e-06,2090,1.275673696097e+00
227,9.080000000000e-06,2090,1.275673696097e+00
228,9.120000000000e-06,2090,1.275673696097e+00
229,9.160000000000e-06,1792,1.093783379620e+00
230,9.200000000000e-06,1792,1.093783379620e+00
231,9.240000000000e-06,1792,1.093783379620e+00
232,9.280000000000e-06,1495,9.125034333323e-01
233,9.320000000000e-06,1495,9.125034333323e-01
234,9.360000000000e-06,1495,9.125034333323e-01
235,9.400000000000e-06,1198,7.312234870449e-01
236,9.440000000000e-06,1198,7.312234870449e-01
237,9.480000000000e-06,900,5.493331705679e-01
238,9.520000000000e-06,900,5.493331705679e-01
239,9.560000000000e-06,602,3.674428540910e-01
240,9.600000000000e-06,304,1.855525376141e-01
241,9.640000000000e-06,304,1.855525376141e-01
242,9.680000000000e-06,6,3.662221137120e-03
243,9.720000000000e-06,6,3.662221137120e-03
244,9.760000000000e-06,-292,-1.782280953398e-01
245,9.800000000000e-06,-292,-1.782280953398e-01
246,9.840000000000e-06,-590,-3.601184118168e-01
247,9.880000000000e-06,-887,-5.413983581042e-01
248,9.920000000000e-06,-887,-5.413983581042e-01
249,9.960000000000e-06,-887,-5.413983581042e-01
250,1.000000000000e-05,-1185,-7.232886745811e-01
251,1.004000000000e-05,-1483,-9.051789910581e-01
252,1.008000000000e-05,-1483,-9.051789910581e-01
253,1.012000000000e-05,-1483,-9.051789910581e-01
254,1.016000000000e-05,-1483,-9.051789910581e-01
255,1.020000000000e-05,-1483,-9.051789910581e-01
256,1.024000000000e-05,-1781,-1.087069307535e+00
257,1.028000000000e-05,-1781,-1.087069307535e+00
258,1.032000000000e-05,-1781,-1.087069307535e+00
259,1.036000000000e-05,-1781,-1.087069307535e+00
260,1.040000000000e-05,-1781,-1.087069307535e+00
261,1.044000000000e-05,-1781,-1.087069307535e+00
262,1.048000000000e-05,-1483,-9.051789910581e-01
263,1.052000000000e-05,-1483,-9.051789910581e-01
264,1.056000000000e-05,-1483,-9.051789910581e-01
265,1.060000000000e-05,-1483,-9.051789910581e-01
266,1.064000000000e-05,-1483,-9.051789910581e-01
267,1.068000000000e-05,-1185,-7.232886745811e-01
268,1.072000000000e-05,-1185,-7.232886745811e-01
269,1.076000000000e-05,-887,-5.413983581042e-01
270,1.080000000000e-05,-887,-5.413983581042e-01
271,1.084000000000e-05,-590,-3.601184118168e-01
272,1.088000000000e-05,-590,-3.601184118168e-01
273,1.092000000000e-05,-292,-1.782280953398e-01
274,1.096000000000e-05,6,3.662221137120e-03
275,1.100000000000e-05,6,3.662221137120e-03
276,1.104000000000e-05,304,1.855525376141e-01
277,1.108000000000e-05,304,1.855525376141e-01
278,1.112000000000e-05,304,1.855525376141e-01
279,1.116000000000e-05,602,3.674428540910e-01
280,1.120000000000e-05,900,5.493331705679e-01
281,1.124000000000e-05,900,5.493331705679e-01
282,1.128000000000e-05,1198,7.312234870449e-01
283,1.132000000000e-05,1198,7.312234870449e-01
284,1.136000000000e-05,1495,9.125034333323e-01
285,1.140000000000e-05,1495,9.125034333323e-01
286,1.144000000000e-05,1495,9.125034333323e-01
287,1.148000000000e-05,1495,9.125034333323e-01
288,1.152000000000e-05,1495,9.125034333323e-01
289,1.156000000000e-05,1792,1.093783379620e+00
290,1.160000000000e-05,1792,1.093783379620e+00
291,1.164000000000e-05,1792,1.093783379620e+00
292,1.168000000000e-05,1792,1.093783379620e+00
293,1.172000000000e-05,1792,1.093783379620e+00
294,1.176000000000e-05,1792,1.093783379620e+00
295,1.180000000000e-05,1792,1.093783379620e+00
296,1.184000000000e-05,1792,1.093783379620e+00
297,1.188000000000e-05,1495,9.125034333323e-01
298,1.192000000000e-05,1495,9.125034333323e-01
299,1.196000000000e-05,1198,7.312234870449e-01
300,1.200000000000e-05,1198,7.312234870449e-01
301,1.204000000000e-05,1198,7.312234870449e-01
302,1.208000000000e-05,900,5.493331705679e-01
303,1.212000000000e-05,900,5.493331705679e-01
304,1.216000000000e-05,602,3.674428540910e-01
305,1.220000000000e-05,900,5.493331705679e-01
306,1.224000000000e-05,602,3.674428540910e-01
307,1.228000000000e-05,304,1.855525376141e-01
308,1.232000000000e-05,304,1.855525376141e-01
309,1.236000000000e-05,6,3.662221137120e-03
310,1.240000000000e-05,-292,-1.782280953398e-01
311,1.244000000000e-05,-292,-1.782280953398e-01
312,1.248000000000e-05,-292,-1.782280953398e-01
313,1.252000000000e-05,-590,-3.601184118168e-01
314,1.256000000000e-05,-590,-3.601184118168e-01
315,1.260000000000e-05,-887,-5.413983581042e-01
316,1.264000000000e-05,-887,-5.413983581042e-01
317,1.268000000000e-05,-1185,-7.232886745811e-01
318,1.272000000000e-05,-1185,-7.232886745811e-01
319,1.276000000000e-05,-1483,-9.051789910581e-01
320,1.280000000000e-05,-1483,-9.051789910581e-01
321,1.284000000000e-05,-1483,-9.051789910581e-01
322,1.288000000000e-05,-1483,-9.051789910581e-01
323,1.292000000000e-05,-1483,-9.051789910581e-01
324,1.296000000000e-05,-1483,-9.051789910581e-01
325,1.300000000000e-05,-1781,-1.087069307535e+00
326,1.304000000000e-05,-1483,-9.051789910581e-01
327,1.308000000000e-05,-1781,-1.087069307535e+00
328,1.312000000000e-05,-1483,-9.051789910581e-01
329,1.316000000000e-05,-1483,-9.051789910581e-01
330,1.320000000000e-05,-1483,-9.051789910581e-01
331,1.324000000000e-05,-1483,-9.051789910581e-01
332,1.328000000000e-05,-1185,-7.232886745811e-01
333,1.332000000000e-05,-1185,-7.232886745811e-01
334,1.336000000000e-05,-887,-5.413983581042e-01
335,1.340000000000e-05,-887,-5.413983581042e-01
336,1.344000000000e-05,-887,-5.413983581042e-01
337,1.348000000000e-05,-590,-3.601184118168e-01
338,1.352000000000e-05,-590,-3.601184118168e-01
339,1.356000000000e-05,-590,-3.601184118168e-01
340,1.360000000000e-05,-292,-1.782280953398e-01
341,1.364000000000e-05,-292,-1.782280953398e-01
342,1.368000000000e-05,6,3.662221137120e-03
343,1.372000000000e-05,304,1.855525376141e-01
344,1.376000000000e-05,304,1.855525376141e-01
345,1.380000000000e-05,602,3.674428540910e-01
346,1.384000000000e-05,602,3.674428540910e-01
347,1.388000000000e-05,900,5.493331705679e-01
348,1.392000000000e-05,900,5.493331705679e-01
349,1.396000000000e-05,900,5.493331705679e-01
350,1.400000000000e-05,900,5.493331705679e-01
351,1.404000000000e-05,1198,7.312234870449e-01
352,1.408000000000e-05,1198,7.312234870449e-01
353,1.412000000000e-05,1495,9.125034333323e-01
354,1.416000000000e-05,1495,9.125034333323e-01
355,1.420000000000e-05,1495,9.125034333323e-01
356,1.424000000000e-05,1495,9.125034333323e-01
357,1.428000000000e-05,1495,9.125034333323e-01
358,1.432000000000e-05,1495,9.125034333323e-01
359,1.436000000000e-05,1495,9.125034333323e-01
360,1.440000000000e-05,1495,9.125034333323e-01
361,1.444000000000e-05,1495,9.125034333323e-01
362,1.448000000000e-05,1495,9.125034333323e-01
363,1.452000000000e-05,1198,7.312234870449e-01
364,1.456000000000e-05,1495,9.125034333323e-01
365,1.460000000000e-05,1198,7.312234870449e-01
366,1.464000000000e-05,1198,7.312234870449e-01
367,1.468000000000e-05,900,5.493331705679e-01
368,1.472000000000e-05,900,5.493331705679e-01
369,1.476000000000e-05,900,5.493331705679e-01
370,1.480000000000e-05,900,5.493331705679e-01
371,1.484000000000e-05,602,3.674428540910e-01
372,1.488000000000e-05,304,1.855525376141e-01
373,1.492000000000e-05,304,1.855525376141e-01
374,1.496000000000e-05,304,1.855525376141e-01
375,1.500000000000e-05,6,3.662221137120e-03
376,1.504000000000e-05,-292,-1.782280953398e-01
377,1.508000000000e-05,-292,-1.782280953398e-01
378,1.512000000000e-05,-292,-1.782280953398e-01
379,1.516000000000e-05,-590,-3.601184118168e-01
380,1.520000000000e-05,-590,-3.601184118168e-01
381,1.524000000000e-05,-887,-5.413983581042e-01
382,1.528000000000e-05,-887,-5.413983581042e-01
383,1.532000000000e-05,-887,-5.413983581042e-01
384,1.536000000000e-05,-1185,-7.232886745811e-01
385,1.540000000000e-05,-1185,-7.232886745811e-01
386,1.544000000000e-05,-1185,-7.232886745811e-01
387,1.548000000000e-05,-1483,-9.051789910581e-01
388,1.552000000000e-05,-1185,-7.232886745811e-01
389,1.556000000000e-05,-1483,-9.051789910581e-01
390,1.560000000000e-05,-1483,-9.051789910581e-01
391,1.564000000000e-05,-1483,-9.051789910581e-01
392,1.568000000000e-05,-1483,-9.051789910581e-01
393,1.572000000000e-05,-1483,-9.051789910581e-01
394,1.576000000000e-05,-1483,-9.051789910581e-01
395,1.580000000000e-05,-1185,-7.232886745811e-01
396,1.584000000000e-05,-1483,-9.051789910581e-01
